"Centro Nacional de Control de Energia"
"Energia de Importacion y Exportacion Liquidada"
"Sistema Interconectado Nacional"
"Reporte Diario"
"Dia de Operacion: 09/jun/2025"
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 23/jun/2025 00:00:01 hrs."
"Nota: Los acentos de este reporte se omiten intencionalmente por sistema"
"Sistema"," Liquidacion"," Enlace Internacional"," Hora"," Importacion Comercial (MWh)"," Importacion por Pago de Energia Inadvertida (MWh)"," Importacion por Confiabilidad (MWh)"," Importacion de los CIL (MWh)"," Importacion Total (MWh)"," Exportacion Comercial (MWh)"," Exportacion por Cobro de Energia Inadvertida (MWh)"," Exportacion por Confiabilidad (MWh)"," Exportacion de los CIL (MWh)"," Exportacion Total (MWh)"," Fecha de Actualizacion"
"SIN","0","CUMBRES FRONTERA - RAIL ROAD","18","0","0","0","0","0","0","0.09181","0","0","0.09181","23-Jun-2025 00:00:00"
"SIN","0","CUMBRES FRONTERA - RAIL ROAD","19","0","0.05155","0","0","0.05155","0","0","0","0","0","23-Jun-2025 00:00:00"
"SIN","0","CUMBRES FRONTERA - RAIL ROAD","20","20","0.17585","0","0","20.17585","0","0","0","0","0","23-Jun-2025 00:00:00"
"SIN","0","CUMBRES FRONTERA - RAIL ROAD","21","40","0","0","0","40","0","0.44228","0","0","0.44228","23-Jun-2025 00:00:00"
"SIN","0","CUMBRES FRONTERA - RAIL ROAD","22","20","0.20768","0","0","20.20768","0","0","0","0","0","23-Jun-2025 00:00:00"
"SIN","0","CUMBRES FRONTERA - RAIL ROAD","23","24","0.04925","0","0","24.04925","0","0","0","0","0","23-Jun-2025 00:00:00"
"SIN","0","CUMBRES FRONTERA - RAIL ROAD","24","20","0.19686","0","0","20.19686","0","0","0","0","0","23-Jun-2025 00:00:00"
"SIN","0","MILITARY HIGHWAY","1","0","0","0","0","0","0","0","0","0","0","23-Jun-2025 00:00:00"
"SIN","0","MILITARY HIGHWAY","2","0","0","0","0","0","0","0","0","0","0","23-Jun-2025 00:00:00"
"SIN","0","MILITARY HIGHWAY","3","0","0","0","0","0","0","0","0","0","0","23-Jun-2025 00:00:00"
"SIN","0","MILITARY HIGHWAY","4","0","0","0","0","0","0","0","0","0","0","23-Jun-2025 00:00:00"
"SIN","0","MILITARY HIGHWAY","5","0","0","0","0","0","0","0","0","0","0","23-Jun-2025 00:00:00"
"SIN","0","MILITARY HIGHWAY","6","0","0","0","0","0","0","0","0","0","0","23-Jun-2025 00:00:00"
"SIN","0","MILITARY HIGHWAY","7","0","0","0","0","0","0","0","0","0","0","23-Jun-2025 00:00:00"
"SIN","0","MILITARY HIGHWAY","8","0","0","0","0","0","0","0","0","0","0","23-Jun-2025 00:00:00"
"SIN","0","MILITARY HIGHWAY","9","0","0","0","0","0","0","0","0","0","0","23-Jun-2025 00:00:00"
"SIN","0","MILITARY HIGHWAY","10","0","0","0","0","0","0","0","0","0","0","23-Jun-2025 00:00:00"
"SIN","0","MILITARY HIGHWAY","11","0","0","0","0","0","0","0","0","0","0","23-Jun-2025 00:00:00"
"SIN","0","MILITARY HIGHWAY","12","0","0","0","0","0","0","0","0","0","0","23-Jun-2025 00:00:00"
"SIN","0","MILITARY HIGHWAY","13","0","0","0","0","0","0","0","0","0","0","23-Jun-2025 00:00:00"
"SIN","0","MILITARY HIGHWAY","14","0","0","0","0","0","0","0","0","0","0","23-Jun-2025 00:00:00"
"SIN","0","MILITARY HIGHWAY","15","0","0","0","0","0","0","0","0","0","0","23-Jun-2025 00:00:00"
"SIN","0","MILITARY HIGHWAY","16","0","0","0","0","0","0","0","0","0","0","23-Jun-2025 00:00:00"
"SIN","0","MILITARY HIGHWAY","17","0","0","0","0","0","0","0","0","0","0","23-Jun-2025 00:00:00"
"SIN","0","MILITARY HIGHWAY","18","0","0","0","0","0","0","0","0","0","0","23-Jun-2025 00:00:00"
"SIN","0","MILITARY HIGHWAY","19","0","0","0","0","0","0","0","0","0","0","23-Jun-2025 00:00:00"
"SIN","0","MILITARY HIGHWAY","20","0","0","0","0","0","0","0","0","0","0","23-Jun-2025 00:00:00"
"SIN","0","MILITARY HIGHWAY","21","0","0","0","0","0","0","0","0","0","0","23-Jun-2025 00:00:00"
"SIN","0","MILITARY HIGHWAY","22","0","0","0","0","0","0","0","0","0","0","23-Jun-2025 00:00:00"
"SIN","0","MILITARY HIGHWAY","23","0","0","0","0","0","0","0","0","0","0","23-Jun-2025 00:00:00"
"SIN","0","MILITARY HIGHWAY","24","0","0","0","0","0","0","0","0","0","0","23-Jun-2025 00:00:00"
"SIN","0","PIEDRAS NEGRAS - EAGLE PASS","1","0","0","0","0","0","0","0","0","0","0","23-Jun-2025 00:00:00"
"SIN","0","PIEDRAS NEGRAS - EAGLE PASS","2","0","0","0","0","0","0","0","0","0","0","23-Jun-2025 00:00:00"
"SIN","0","PIEDRAS NEGRAS - EAGLE PASS","3","0","0","0","0","0","0","0","0","0","0","23-Jun-2025 00:00:00"
"SIN","0","PIEDRAS NEGRAS - EAGLE PASS","4","0","0","0","0","0","0","0","0","0","0","23-Jun-2025 00:00:00"
"SIN","0","PIEDRAS NEGRAS - EAGLE PASS","5","0","0","0","0","0","0","0","0","0","0","23-Jun-2025 00:00:00"
"SIN","0","PIEDRAS NEGRAS - EAGLE PASS","6","0","0","0","0","0","0","0","0","0","0","23-Jun-2025 00:00:00"
"SIN","0","PIEDRAS NEGRAS - EAGLE PASS","7","0","0","0","0","0","0","0","0","0","0","23-Jun-2025 00:00:00"
"SIN","0","PIEDRAS NEGRAS - EAGLE PASS","8","0","0","0","0","0","0","0","0","0","0","23-Jun-2025 00:00:00"
"SIN","0","PIEDRAS NEGRAS - EAGLE PASS","9","0","0","0","0","0","0","0","0","0","0","23-Jun-2025 00:00:00"
"SIN","0","PIEDRAS NEGRAS - EAGLE PASS","10","0","0","0","0","0","0","0","0","0","0","23-Jun-2025 00:00:00"
"SIN","0","PIEDRAS NEGRAS - EAGLE PASS","11","0","0","0","0","0","0","0","0","0","0","23-Jun-2025 00:00:00"
"SIN","0","PIEDRAS NEGRAS - EAGLE PASS","12","0","0","0","0","0","0","0","0","0","0","23-Jun-2025 00:00:00"
"SIN","0","PIEDRAS NEGRAS - EAGLE PASS","13","0","0","0","0","0","0","0","0","0","0","23-Jun-2025 00:00:00"
"SIN","0","PIEDRAS NEGRAS - EAGLE PASS","14","0","0","0","0","0","0","0","0","0","0","23-Jun-2025 00:00:00"
"SIN","0","PIEDRAS NEGRAS - EAGLE PASS","15","0","0","0","0","0","0","0","0","0","0","23-Jun-2025 00:00:00"
"SIN","0","PIEDRAS NEGRAS - EAGLE PASS","16","0","0","0","0","0","0","0","0","0","0","23-Jun-2025 00:00:00"
"SIN","0","PIEDRAS NEGRAS - EAGLE PASS","17","0","0","0","0","0","0","0","0","0","0","23-Jun-2025 00:00:00"
"SIN","0","PIEDRAS NEGRAS - EAGLE PASS","18","0","0","0","0","0","0","0","0","0","0","23-Jun-2025 00:00:00"
"SIN","0","PIEDRAS NEGRAS - EAGLE PASS","19","0","0","0","0","0","0","0","0","0","0","23-Jun-2025 00:00:00"
"SIN","0","PIEDRAS NEGRAS - EAGLE PASS","20","0","0","0","0","0","0","0","0","0","0","23-Jun-2025 00:00:00"
"SIN","0","PIEDRAS NEGRAS - EAGLE PASS","21","0","0","0","0","0","0","0","0","0","0","23-Jun-2025 00:00:00"
"SIN","0","PIEDRAS NEGRAS - EAGLE PASS","22","0","0","0","0","0","0","0","0","0","0","23-Jun-2025 00:00:00"
"SIN","0","PIEDRAS NEGRAS - EAGLE PASS","23","0","0","0","0","0","0","0","0","0","0","23-Jun-2025 00:00:00"
"SIN","0","PIEDRAS NEGRAS - EAGLE PASS","24","0","0","0","0","0","0","0","0","0","0","23-Jun-2025 00:00:00"
"SIN","0","TAPACHULA-LOS BRILLANTES","1","0","0","0","0","0","3","2.04745","0","120","125.04745","23-Jun-2025 00:00:00"
"SIN","0","TAPACHULA-LOS BRILLANTES","2","0","0","0","0","0","0","3.34338","0","120","123.34338","23-Jun-2025 00:00:00"
"SIN","0","TAPACHULA-LOS BRILLANTES","3","0","3.68681","0","0","3.68681","45","0","0","120","165","23-Jun-2025 00:00:00"
"SIN","0","TAPACHULA-LOS BRILLANTES","4","0","0","0","0","0","85","2.04472","0","120","207.04472","23-Jun-2025 00:00:00"
"SIN","0","TAPACHULA-LOS BRILLANTES","5","0","2.3492","0","0","2.3492","120","0","0","120","240","23-Jun-2025 00:00:00"
"SIN","0","TAPACHULA-LOS BRILLANTES","6","0","10.38861","0","0","10.38861","120","0","0","120","240","23-Jun-2025 00:00:00"
"SIN","0","TAPACHULA-LOS BRILLANTES","7","0","10.21405","0","0","10.21405","120","0","0","120","240","23-Jun-2025 00:00:00"
"SIN","0","TAPACHULA-LOS BRILLANTES","8","0","0","0","0","0","120","16.79701","0","120","256.79701","23-Jun-2025 00:00:00"
"SIN","0","TAPACHULA-LOS BRILLANTES","9","0","0","0","0","0","72","1.49831","0","120","193.49831","23-Jun-2025 00:00:00"
"SIN","0","TAPACHULA-LOS BRILLANTES","10","0","5.73883","0","0","5.73883","120","0","0","120","240","23-Jun-2025 00:00:00"
"SIN","0","TAPACHULA-LOS BRILLANTES","11","0","1.23355","0","0","1.23355","120","0","0","120","240","23-Jun-2025 00:00:00"
"SIN","0","TAPACHULA-LOS BRILLANTES","12","0","0.62863","0","0","0.62863","95","0","0","120","215","23-Jun-2025 00:00:00"
"SIN","0","TAPACHULA-LOS BRILLANTES","13","0","0","0","0","0","35","3.50151","0","120","158.50151","23-Jun-2025 00:00:00"
"SIN","0","TAPACHULA-LOS BRILLANTES","14","0","10.89808","0","0","10.89808","95","0","0","120","215","23-Jun-2025 00:00:00"
"SIN","0","TAPACHULA-LOS BRILLANTES","15","0","4.17488","0","0","4.17488","120","0","0","120","240","23-Jun-2025 00:00:00"
"SIN","0","TAPACHULA-LOS BRILLANTES","16","0","4.41966","0","0","4.41966","115","0","0","120","235","23-Jun-2025 00:00:00"
"SIN","0","TAPACHULA-LOS BRILLANTES","17","0","0","0","0","0","55","6.47749","0","120","181.47749","23-Jun-2025 00:00:00"
"SIN","0","TAPACHULA-LOS BRILLANTES","18","0","1.82334","0","0","1.82334","115","0","0","120","235","23-Jun-2025 00:00:00"
"SIN","0","TAPACHULA-LOS BRILLANTES","19","0","0","0","0","0","95","7.50439","0","120","222.50439","23-Jun-2025 00:00:00"
"SIN","0","TAPACHULA-LOS BRILLANTES","20","0","7.40439","0","0","7.40439","35","0","0","120","155","23-Jun-2025 00:00:00"
"SIN","0","TAPACHULA-LOS BRILLANTES","21","0","0","0","0","0","12","4.03341","0","120","136.03341","23-Jun-2025 00:00:00"
