"Centro Nacional de Control de Energia"
"Energia de Importacion y Exportacion Liquidada"
"Sistema Baja California"
"Reporte Diario"
"Dia de Operacion: 09/jun/2025"
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 23/jun/2025 00:00:01 hrs."
"Nota: Los acentos de este reporte se omiten intencionalmente por sistema"
"Sistema"," Liquidacion"," Enlace Internacional"," Hora"," Importacion Comercial (MWh)"," Importacion por Pago de Energia Inadvertida (MWh)"," Importacion por Confiabilidad (MWh)"," Importacion de los CIL (MWh)"," Importacion Total (MWh)"," Exportacion Comercial (MWh)"," Exportacion por Cobro de Energia Inadvertida (MWh)"," Exportacion por Confiabilidad (MWh)"," Exportacion de los CIL (MWh)"," Exportacion Total (MWh)"," Fecha de Actualizacion"
"BCA","0","TIJUANA - OTAY MESA","5","0","0","0","0","0","0","35.79208","0","0","35.79208","23-Jun-2025 00:00:00"
"BCA","0","TIJUANA - OTAY MESA","6","0","0","0","0","0","0","10.37879","0","0","10.37879","23-Jun-2025 00:00:00"
"BCA","0","TIJUANA - OTAY MESA","7","0","36.01096","0","0","36.01096","0","0","0","0","0","23-Jun-2025 00:00:00"
"BCA","0","TIJUANA - OTAY MESA","8","0","41.68415","0","0","41.68415","0","0","0","0","0","23-Jun-2025 00:00:00"
"BCA","0","TIJUANA - OTAY MESA","9","60","55.2175","0","0","115.2175","0","0","0","0","0","23-Jun-2025 00:00:00"
"BCA","0","TIJUANA - OTAY MESA","10","74","62.84311","0","0","136.84311","0","0","0","0","0","23-Jun-2025 00:00:00"
"BCA","0","TIJUANA - OTAY MESA","11","120","0","0","0","120","0","1.50044","0","0","1.50044","23-Jun-2025 00:00:00"
"BCA","0","TIJUANA - OTAY MESA","12","145","0","0","0","145","0","35.41723","0","0","35.41723","23-Jun-2025 00:00:00"
"BCA","0","TIJUANA - OTAY MESA","13","155","0","0","0","155","0","44.92017","0","0","44.92017","23-Jun-2025 00:00:00"
"BCA","0","TIJUANA - OTAY MESA","14","144","0","0","0","144","0","30.01924","0","0","30.01924","23-Jun-2025 00:00:00"
"BCA","0","TIJUANA - OTAY MESA","15","145","0","0","0","145","0","16.60605","0","0","16.60605","23-Jun-2025 00:00:00"
"BCA","0","TIJUANA - OTAY MESA","16","133","67.53229","0","0","200.53229","0","0","0","0","0","23-Jun-2025 00:00:00"
"BCA","0","TIJUANA - OTAY MESA","17","139","87.9957","0","0","226.9957","0","0","0","0","0","23-Jun-2025 00:00:00"
"BCA","0","TIJUANA - OTAY MESA","18","156","44.97396","0","0","200.97396","0","0","0","0","0","23-Jun-2025 00:00:00"
"BCA","0","TIJUANA - OTAY MESA","19","125","110.563","0","0","235.563","0","0","0","0","0","23-Jun-2025 00:00:00"
"BCA","0","TIJUANA - OTAY MESA","20","134","145.19324","0","0","279.19324","0","0","0","0","0","23-Jun-2025 00:00:00"
"BCA","0","TIJUANA - OTAY MESA","21","155","114.89014","0","0","269.89014","0","0","0","0","0","23-Jun-2025 00:00:00"
"BCA","0","TIJUANA - OTAY MESA","22","155","117.97434","0","0","272.97434","0","0","0","0","0","23-Jun-2025 00:00:00"
"BCA","0","TIJUANA - OTAY MESA","23","162","68.5404","0","0","230.5404","0","0","0","0","0","23-Jun-2025 00:00:00"
"BCA","0","TIJUANA - OTAY MESA","24","136","76.14269","0","0","212.14269","0","0","0","0","0","23-Jun-2025 00:00:00"
