"Centro Nacional de Control de Energia"
"Programa de Generacion de las Unidades representadas por el Generador de Intermediacion (GI) (Calculo ExPost)(No incluye importacion)					"
"Sistema Interconectado Nacional"
"Reporte diario"
"Fecha: 10/jul/2025"
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 08/sep/2025 01:20:01 hrs."
"Nota: Los acentos de este reporte se omiten intencionalmente por sistema."
"Datos horarios:"
"Codigo"," Hora"," Potencia Media (MW)"
"IXB2U2DNB4JNVGR","8","         10.609"
"IXB2U2DNB4JNVGR","9","          2.782"
"IXB2U2DNB4JNVGR","10","          1.894"
"IXB2U2DNB4JNVGR","11","          0.925"
"IXB2U2DNB4JNVGR","12","          2.388"
"IXB2U2DNB4JNVGR","13","          0.663"
"IXB2U2DNB4JNVGR","14","          0.215"
"IXB2U2DNB4JNVGR","15","          0.672"
"IXB2U2DNB4JNVGR","16","          1.748"
"IXB2U2DNB4JNVGR","17","          1.888"
"IXB2U2DNB4JNVGR","18","          0.443"
"IXB2U2DNB4JNVGR","19","          0.216"
"IXB2U2DNB4JNVGR","20","          1.312"
"IXB2U2DNB4JNVGR","21","          0.677"
"IXB2U2DNB4JNVGR","22","          1.494"
"IXB2U2DNB4JNVGR","23","          3.332"
"IXB2U2DNB4JNVGR","24","          2.926"
"IXB2U2FPEQEHAPR","1","         16.957"
"IXB2U2FPEQEHAPR","2","          4.403"
"IXB2U2FPEQEHAPR","3","          0.410"
"IXB2U2FPEQEHAPR","4","          0.000"
"IXB2U2FPEQEHAPR","5","          0.000"
"IXB2U2FPEQEHAPR","6","          0.000"
"IXB2U2FPEQEHAPR","7","          0.378"
"IXB2U2FPEQEHAPR","8","          5.413"
"IXB2U2FPEQEHAPR","9","         14.454"
"IXB2U2FPEQEHAPR","10","         16.611"
"IXB2U2FPEQEHAPR","11","         15.473"
"IXB2U2FPEQEHAPR","12","         15.709"
"IXB2U2FPEQEHAPR","13","         16.095"
"IXB2U2FPEQEHAPR","14","         16.716"
"IXB2U2FPEQEHAPR","15","         16.318"
"IXB2U2FPEQEHAPR","16","         16.946"
"IXB2U2FPEQEHAPR","17","         14.546"
"IXB2U2FPEQEHAPR","18","         10.272"
"IXB2U2FPEQEHAPR","19","          6.201"
"IXB2U2FPEQEHAPR","20","         11.370"
"IXB2U2FPEQEHAPR","21","          9.583"
"IXB2U2FPEQEHAPR","22","          5.621"
"IXB2U2FPEQEHAPR","23","          0.000"
"IXB2U2FPEQEHAPR","24","          0.000"
"IXB2U2H3X4TGRJU","1","         18.878"
"IXB2U2H3X4TGRJU","2","         18.931"
"IXB2U2H3X4TGRJU","3","         18.906"
"IXB2U2H3X4TGRJU","4","         18.512"
"IXB2U2H3X4TGRJU","5","         18.224"
"IXB2U2H3X4TGRJU","6","         18.157"
"IXB2U2H3X4TGRJU","7","         17.942"
"IXB2U2H3X4TGRJU","8","         18.007"
"IXB2U2H3X4TGRJU","9","         17.912"
"IXB2U2H3X4TGRJU","10","         17.782"
"IXB2U2H3X4TGRJU","11","         17.806"
"IXB2U2H3X4TGRJU","12","         17.610"
"IXB2U2H3X4TGRJU","13","         17.732"
"IXB2U2H3X4TGRJU","14","         18.900"
"IXB2U2H3X4TGRJU","15","         18.380"
"IXB2U2H3X4TGRJU","16","         18.082"
"IXB2U2H3X4TGRJU","17","         18.119"
"IXB2U2H3X4TGRJU","18","         18.010"
"IXB2U2H3X4TGRJU","19","         17.544"
"IXB2U2H3X4TGRJU","20","         17.776"
"IXB2U2H3X4TGRJU","21","         17.708"
"IXB2U2H3X4TGRJU","22","         17.654"
"IXB2U2H3X4TGRJU","23","         17.647"
"IXB2U2H3X4TGRJU","24","         17.554"
"IXB2U2MH1YIJY7W","1","          0.000"
"IXB2U2MH1YIJY7W","2","          0.000"
"IXB2U2MH1YIJY7W","3","          0.000"
"IXB2U2MH1YIJY7W","4","          0.000"
"IXB2U2MH1YIJY7W","5","          0.000"
"IXB2U2MH1YIJY7W","6","          0.000"
"IXB2U2MH1YIJY7W","7","          0.000"
"IXB2U2MH1YIJY7W","8","          0.000"
"IXB2U2MH1YIJY7W","9","          0.000"
"IXB2U2MH1YIJY7W","10","          0.000"
"IXB2U2MH1YIJY7W","11","          0.000"
"IXB2U2MH1YIJY7W","12","          0.000"
"IXB2U2MH1YIJY7W","13","          0.000"
"IXB2U2MH1YIJY7W","14","          0.000"
"IXB2U2MH1YIJY7W","15","          0.000"
"IXB2U2MH1YIJY7W","16","          0.000"
"IXB2U2MH1YIJY7W","17","          0.000"
"IXB2U2MH1YIJY7W","18","          0.000"
"IXB2U2MH1YIJY7W","19","          0.000"
"IXB2U2MH1YIJY7W","20","          0.000"
"IXB2U2MH1YIJY7W","21","          0.000"
"IXB2U2MH1YIJY7W","22","          0.000"
"IXB2U2MH1YIJY7W","23","          0.000"
"IXB2U2MH1YIJY7W","24","          0.000"
"IXB2U2TO2L21XJ8","1","          0.000"
"IXB2U2TO2L21XJ8","2","          0.000"
"IXB2U2TO2L21XJ8","3","          0.000"
"IXB2U2TO2L21XJ8","4","          0.000"
"IXB2U2TO2L21XJ8","5","          0.000"
"IXB2U2TO2L21XJ8","6","          0.000"
"IXB2U2TO2L21XJ8","7","          0.000"
"IXB2U2TO2L21XJ8","8","          0.000"
"IXB2U2TO2L21XJ8","9","          0.000"
"IXB2U2TO2L21XJ8","10","          0.000"
"IXB2U2TO2L21XJ8","11","          0.000"
"IXB2U2TO2L21XJ8","12","          0.000"
"IXB2U2TO2L21XJ8","13","          0.000"
"IXB2U2TO2L21XJ8","14","          0.000"
"IXB2U2TO2L21XJ8","15","          0.000"
"IXB2U2TO2L21XJ8","16","          0.000"
"IXB2U2TO2L21XJ8","17","          0.000"
"IXB2U2TO2L21XJ8","18","          0.000"
"IXB2U2TO2L21XJ8","19","          0.000"
"IXB2U2TO2L21XJ8","20","          0.000"
"IXB2U2TO2L21XJ8","21","          0.000"
"IXB2U2TO2L21XJ8","22","          0.000"
"IXB2U2TO2L21XJ8","23","          0.000"
"IXB2U2TO2L21XJ8","24","          0.000"
"IXB2U2XYDSZWG3X","1","          0.000"
"IXB2U2XYDSZWG3X","2","          0.000"
"IXB2U2XYDSZWG3X","3","          0.000"
"IXB2U2XYDSZWG3X","4","          0.000"
"IXB2U2XYDSZWG3X","5","          0.000"
"IXB2U2XYDSZWG3X","6","          0.000"
"IXB2U2XYDSZWG3X","7","          0.000"
"IXB2U2XYDSZWG3X","8","          0.000"
"IXB2U2XYDSZWG3X","9","          0.000"
"IXB2U2XYDSZWG3X","10","          0.000"
"IXB2U2XYDSZWG3X","11","          0.000"
"IXB2U2XYDSZWG3X","12","          0.000"
"IXB2U2XYDSZWG3X","13","          0.000"
"IXB2U2XYDSZWG3X","14","          0.000"
"IXB2U2XYDSZWG3X","15","          0.000"
"IXB2U2XYDSZWG3X","16","          0.000"
"IXB2U2XYDSZWG3X","17","          0.000"
"IXB2U2XYDSZWG3X","18","          0.000"
"IXB2U2XYDSZWG3X","19","          0.000"
"IXB2U2XYDSZWG3X","20","          0.000"
"IXB2U2XYDSZWG3X","21","          0.000"
"IXB2U2XYDSZWG3X","22","          0.000"
"IXB2U2XYDSZWG3X","23","          0.000"
"IXB2U2XYDSZWG3X","24","          0.000"
"IXB2U34GDGJZU73","1","         55.095"
"IXB2U34GDGJZU73","2","         46.514"
"IXB2U34GDGJZU73","3","         29.302"
"IXB2U34GDGJZU73","4","         34.048"
